MPAN, Meter, Utility, Date, Period, Reading, Estimated, Lead, Lag
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 00:00-00:29 ,1, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 00:30-00:59 ,0, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 01:00-01:29 ,1, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 01:30-01:59 ,0, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 02:00-02:29 ,0, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 02:30-02:59 ,1, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 03:00-03:29 ,0, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 03:30-03:59 ,1, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 04:00-04:29 ,0, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 04:30-04:59 ,2, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 05:00-05:29 ,3, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 05:30-05:59 ,4, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 06:00-06:29 ,4, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 06:30-06:59 ,4, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 07:00-07:29 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 07:30-07:59 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 08:00-08:29 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 08:30-08:59 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 09:00-09:29 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 09:30-09:59 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 10:00-10:29 ,6, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 10:30-10:59 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 11:00-11:29 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 11:30-11:59 ,5, False,0,0
EGXUK_008067820EF4-17, 1st Floor East A, Electricity, 05 May 2017, 12:00-12:29 ,6, False,0,0
